ZIP Code,Borough,Neighborhood,Population,Average Household Income
10463,Bronx,Kingsbridge - Riverdale,70236,60397
10471,Bronx,Kingsbridge - Riverdale,22577,93657
10466,Bronx,Northeast Bronx,74519,58405
10469,Bronx,Northeast Bronx,72550,67190
10470,Bronx,Northeast Bronx,15500,64643
10475,Bronx,Northeast Bronx,43791,53819
10458,Bronx,Fordham - Bronx Park,85893,37886
10467,Bronx,Fordham - Bronx Park,100867,40639
10468,Bronx,Fordham - Bronx Park,78778,37777
10461,Bronx,Pelham - Throgs Neck,51081,60802
10462,Bronx,Pelham - Throgs Neck,75441,57266
10464,Bronx,Pelham - Throgs Neck,4322,101935
10465,Bronx,Pelham - Throgs Neck,45066,74889
10472,Bronx,Pelham - Throgs Neck,67989,36038
10473,Bronx,Pelham - Throgs Neck,59627,47856
10453,Bronx,Crotona - Tremont,78858,31778
10457,Bronx,Crotona - Tremont,74679,32378
10460,Bronx,Crotona - Tremont,57514,28831
10451,Bronx,High Bridge - Morrisania,49423,32598
10452,Bronx,High Bridge - Morrisania,74379,31351
10456,Bronx,High Bridge - Morrisania,90479,31645
10454,Bronx,Hunts Point - Mott Haven,37807,23337
10455,Bronx,Hunts Point - Mott Haven,40300,29439
10459,Bronx,Hunts Point - Mott Haven,48391,31896
10474,Bronx,Hunts Point - Mott Haven,11579,28419
11211,Brooklyn,Greenpoint,104561,90871
11222,Brooklyn,Greenpoint,36710,96435
11201,Brooklyn,Downtown - Heights - Park Slope,64798,139697
11205,Brooklyn,Downtown - Heights - Park Slope,47866,62952
11215,Brooklyn,Downtown - Heights - Park Slope,69995,144330
11217,Brooklyn,Downtown - Heights - Park Slope,42461,122598
11231,Brooklyn,Downtown - Heights - Park Slope,37796,108525
11213,Brooklyn,Bedford Stuyvesant - Crown Heights,67382,48318
11212,Brooklyn,Bedford Stuyvesant - Crown Heights,74037,29385
11216,Brooklyn,Bedford Stuyvesant - Crown Heights,59567,77343
11233,Brooklyn,Bedford Stuyvesant - Crown Heights,79796,48278
11238,Brooklyn,Bedford Stuyvesant - Crown Heights,55102,100568
11207,Brooklyn,East New York,90867,42276
11208,Brooklyn,East New York,102626,45946
11220,Brooklyn,Sunset Park,90657,55119
11232,Brooklyn,Sunset Park,26501,74072
11204,Brooklyn,Borough Park,75840,54984
11218,Brooklyn,Borough Park,73280,78249
11219,Brooklyn,Borough Park,87812,41907
11230,Brooklyn,Borough Park,87188,57770
11203,Brooklyn,East Flatbush - Flatbush,77589,57707
11210,Brooklyn,East Flatbush - Flatbush,62423,70776
11225,Brooklyn,East Flatbush - Flatbush,56072,65200
